destination_city,hotel_name,category,estimated_price_usd,estimated_price_eur,hotel_website,hotel_type,distance_to_city_center_km
Tokyo HND,Sunset Tokyo Resort,5,250.02,230.02,https://www.sunsettokyoresort.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",10.22
Tokyo HND,Ocean Tokyo Hotel,4,387.89,356.86,https://www.oceantokyohotel.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",8.27
Tokyo HND,Urban Tokyo Haven,4,179.69,165.31,https://www.urbantokyohaven.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",13.39
Tokyo HND,Comfort Tokyo Palace,4,120.61,110.96,https://www.comforttokyopalace.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",11.76
Tokyo HND,Comfort Tokyo Retreat,4,307.99,283.35,https://www.comforttokyoretreat.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",9.01
Tokyo HND,Luxe Tokyo Resort,5,315.61,290.36,https://www.luxetokyoresort.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",4.39
Tokyo HND,Urban Tokyo Haven,3,175.86,161.79,https://www.urbantokyohaven.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",1.94
Tokyo HND,Royal Tokyo Hotel,3,175.37,161.34,https://www.royaltokyohotel.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",14.12
Tokyo HND,Heritage Tokyo Inn,3,219.51,201.95,https://www.heritagetokyoinn.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",10.32
Tokyo HND,Paradise Tokyo Suites,4,150.36,138.33,https://www.paradisetokyosuites.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",3.46
Tokyo HND,Ocean Tokyo Suites,3,268.2,246.74,https://www.oceantokyosuites.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",12.73
Tokyo HND,Heritage Tokyo Haven,5,327.81,301.59,https://www.heritagetokyohaven.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",7.06
Tokyo HND,Comfort Tokyo Inn,5,150.04,138.04,https://www.comforttokyoinn.com,"Hostal o Albergue: Económico, alojamiento compartido.",23.09
Tokyo HND,Luxe Tokyo Resort,3,118.67,109.18,https://www.luxetokyoresort.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",3.87
Tokyo HND,Comfort Tokyo Villa,3,273.58,251.69,https://www.comforttokyovilla.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",9.22
Tokyo HND,Luxe Tokyo Haven,4,315.44,290.2,https://www.luxetokyohaven.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",23.14
Tokyo HND,Royal Tokyo Resort,5,198.28,182.42,https://www.royaltokyoresort.com,"Hostal o Albergue: Económico, alojamiento compartido.",14.37
Tokyo HND,Elite Tokyo Inn,4,307.77,283.15,https://www.elitetokyoinn.com,"Hostal o Albergue: Económico, alojamiento compartido.",11.24
Tokyo HND,Elite Tokyo Suites,3,196.71,180.97,https://www.elitetokyosuites.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,0.59
Tokyo HND,Royal Tokyo Suites,5,485.87,447.0,https://www.royaltokyosuites.com,"Hostal o Albergue: Económico, alojamiento compartido.",12.65
Tokyo HND,Comfort Tokyo Palace,4,248.71,228.81,https://www.comforttokyopalace.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",7.16
Tokyo HND,Royal Tokyo Villa,3,100.73,92.67,https://www.royaltokyovilla.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,12.27
Tokyo HND,Urban Tokyo Suites,3,120.29,110.67,https://www.urbantokyosuites.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",14.09
Tokyo HND,Comfort Tokyo Haven,3,149.08,137.15,https://www.comforttokyohaven.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",27.62
Tokyo HND,Sunset Tokyo Haven,5,419.04,385.52,https://www.sunsettokyohaven.com,"Hostal o Albergue: Económico, alojamiento compartido.",28.75
Tokyo HND,Comfort Tokyo Palace,5,217.88,200.45,https://www.comforttokyopalace.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",9.88
Tokyo HND,Comfort Tokyo Haven,5,270.2,248.58,https://www.comforttokyohaven.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",29.76
Tokyo HND,Grand Tokyo Resort,5,290.85,267.58,https://www.grandtokyoresort.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,9.33
Tokyo HND,Grand Tokyo Palace,5,171.02,157.34,https://www.grandtokyopalace.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,17.36
Tokyo HND,Royal Tokyo Palace,4,291.43,268.12,https://www.royaltokyopalace.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",18.8
Tokyo HND,Elite Tokyo Suites,5,308.19,283.53,https://www.elitetokyosuites.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",8.46
Tokyo HND,Sunset Tokyo Retreat,5,157.25,144.67,https://www.sunsettokyoretreat.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",23.42
Tokyo HND,Grand Tokyo Villa,3,169.45,155.89,https://www.grandtokyovilla.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",13.05
Tokyo HND,Sunset Tokyo Suites,4,386.51,355.59,https://www.sunsettokyosuites.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",6.14
Tokyo HND,Paradise Tokyo Resort,5,179.76,165.38,https://www.paradisetokyoresort.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",15.49
Tokyo HND,Urban Tokyo Lodge,3,196.16,180.47,https://www.urbantokyolodge.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,21.83
Tokyo HND,Comfort Tokyo Residence,5,452.27,416.09,https://www.comforttokyoresidence.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,11.36
Tokyo HND,Grand Tokyo Retreat,4,331.33,304.82,https://www.grandtokyoretreat.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",26.38
Tokyo HND,Ocean Tokyo Residence,5,343.56,316.08,https://www.oceantokyoresidence.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",5.2
Tokyo HND,Royal Tokyo Hotel,4,375.26,345.24,https://www.royaltokyohotel.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",26.56
Tokyo HND,Royal Tokyo Hotel,5,257.21,236.63,https://www.royaltokyohotel.com,"Hostal o Albergue: Económico, alojamiento compartido.",5.01
Tokyo HND,Urban Tokyo Haven,5,430.95,396.47,https://www.urbantokyohaven.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",29.91
Tokyo HND,Elite Tokyo Retreat,3,258.8,238.1,https://www.elitetokyoretreat.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",11.06
Tokyo HND,Grand Tokyo Palace,4,343.66,316.17,https://www.grandtokyopalace.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",3.91
Tokyo HND,Ocean Tokyo Suites,3,276.02,253.94,https://www.oceantokyosuites.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",23.29
Tokyo HND,Sunset Tokyo Palace,5,455.98,419.5,https://www.sunsettokyopalace.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",19.11
Tokyo HND,Elite Tokyo Palace,5,371.8,342.06,https://www.elitetokyopalace.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,1.01
Tokyo HND,Ocean Tokyo Villa,5,479.07,440.74,https://www.oceantokyovilla.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",17.44
Tokyo HND,Paradise Tokyo Residence,3,277.51,255.31,https://www.paradisetokyoresidence.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",18.99
Tokyo HND,Elite Tokyo Palace,5,331.98,305.42,https://www.elitetokyopalace.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",23.07
Tokyo HND,Luxe Tokyo Residence,5,491.68,452.35,https://www.luxetokyoresidence.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",9.3
Tokyo HND,Grand Tokyo Retreat,4,139.5,128.34,https://www.grandtokyoretreat.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",6.26
Tokyo HND,Comfort Tokyo Retreat,4,143.15,131.7,https://www.comforttokyoretreat.com,"Hostal o Albergue: Económico, alojamiento compartido.",23.92
Tokyo HND,Royal Tokyo Haven,3,219.91,202.32,https://www.royaltokyohaven.com,"Hostal o Albergue: Económico, alojamiento compartido.",5.76
Tokyo HND,Grand Tokyo Inn,4,304.95,280.55,https://www.grandtokyoinn.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",4.52
Tokyo HND,Elite Tokyo Residence,3,172.88,159.05,https://www.elitetokyoresidence.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",0.49
París CDG,Urban París Residence,3,298.92,275.01,https://www.urbanparísresidence.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,0.27
París CDG,Luxe París Inn,5,299.23,275.29,https://www.luxeparísinn.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",10.26
París CDG,Comfort París Haven,5,180.8,166.34,https://www.comfortparíshaven.com,"Hostal o Albergue: Económico, alojamiento compartido.",8.86
París CDG,Royal París Lodge,3,158.55,145.87,https://www.royalparíslodge.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",8.67
París CDG,Sunset París Lodge,5,291.68,268.35,https://www.sunsetparíslodge.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,25.74
París CDG,Urban París Lodge,3,92.7,85.28,https://www.urbanparíslodge.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",5.42
París CDG,Paradise París Villa,5,420.94,387.26,https://www.paradiseparísvilla.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",7.57
París CDG,Comfort París Residence,3,233.71,215.01,https://www.comfortparísresidence.com,"Hostal o Albergue: Económico, alojamiento compartido.",10.55
París CDG,Ocean París Resort,4,183.93,169.22,https://www.oceanparísresort.com,"Hostal o Albergue: Económico, alojamiento compartido.",20.14
París CDG,Grand París Suites,5,298.34,274.47,https://www.grandparíssuites.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",11.23
París CDG,Luxe París Suites,3,159.61,146.84,https://www.luxeparíssuites.com,"Hostal o Albergue: Económico, alojamiento compartido.",9.41
París CDG,Grand París Villa,5,270.62,248.97,https://www.grandparísvilla.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",4.98
París CDG,Sunset París Residence,3,201.88,185.73,https://www.sunsetparísresidence.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",9.8
París CDG,Royal París Retreat,3,90.41,83.18,https://www.royalparísretreat.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",19.94
París CDG,Luxe París Retreat,3,271.43,249.72,https://www.luxeparísretreat.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",3.78
París CDG,Heritage París Lodge,3,114.25,105.11,https://www.heritageparíslodge.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",13.28
París CDG,Heritage París Residence,4,136.63,125.7,https://www.heritageparísresidence.com,"Hostal o Albergue: Económico, alojamiento compartido.",15.55
París CDG,Urban París Retreat,3,125.86,115.79,https://www.urbanparísretreat.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",26.82
París CDG,Paradise París Inn,3,191.62,176.29,https://www.paradiseparísinn.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",8.4
París CDG,Heritage París Villa,3,208.45,191.77,https://www.heritageparísvilla.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",12.96
París CDG,Urban París Palace,5,156.1,143.61,https://www.urbanparíspalace.com,"Hostal o Albergue: Económico, alojamiento compartido.",17.92
París CDG,Luxe París Hotel,3,116.03,106.75,https://www.luxeparíshotel.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",12.76
París CDG,Elite París Lodge,4,356.26,327.76,https://www.eliteparíslodge.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,21.53
París CDG,Sunset París Inn,3,287.16,264.19,https://www.sunsetparísinn.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",7.23
París CDG,Paradise París Haven,5,454.42,418.07,https://www.paradiseparíshaven.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",21.25
París CDG,Comfort París Resort,4,232.55,213.95,https://www.comfortparísresort.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",13.07
París CDG,Elite París Suites,3,269.28,247.74,https://www.eliteparíssuites.com,"Hostal o Albergue: Económico, alojamiento compartido.",28.57
París CDG,Royal París Residence,3,273.43,251.56,https://www.royalparísresidence.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",15.78
París CDG,Luxe París Retreat,3,111.35,102.44,https://www.luxeparísretreat.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",9.34
París CDG,Grand París Suites,3,223.25,205.39,https://www.grandparíssuites.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,21.45
París CDG,Sunset París Haven,5,182.37,167.78,https://www.sunsetparíshaven.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",21.98
París CDG,Luxe París Lodge,4,250.26,230.24,https://www.luxeparíslodge.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",16.31
París CDG,Luxe París Palace,3,262.82,241.79,https://www.luxeparíspalace.com,"Hostal o Albergue: Económico, alojamiento compartido.",11.0
París CDG,Grand París Inn,4,256.75,236.21,https://www.grandparísinn.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",4.79
París CDG,Royal París Palace,5,270.14,248.53,https://www.royalparíspalace.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",12.37
París CDG,Elite París Haven,3,253.94,233.62,https://www.eliteparíshaven.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",20.6
París CDG,Comfort París Haven,5,180.63,166.18,https://www.comfortparíshaven.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",11.75
París CDG,Elite París Inn,4,193.72,178.22,https://www.eliteparísinn.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",18.5
París CDG,Royal París Residence,4,269.91,248.32,https://www.royalparísresidence.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",0.19
París CDG,Luxe París Inn,4,342.26,314.88,https://www.luxeparísinn.com,"Hostal o Albergue: Económico, alojamiento compartido.",13.73
París CDG,Sunset París Suites,3,195.18,179.57,https://www.sunsetparíssuites.com,"Hostal o Albergue: Económico, alojamiento compartido.",13.27
París CDG,Urban París Lodge,5,259.69,238.91,https://www.urbanparíslodge.com,"Hostal o Albergue: Económico, alojamiento compartido.",8.85
París CDG,Urban París Villa,5,163.9,150.79,https://www.urbanparísvilla.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",26.35
París CDG,Ocean París Resort,4,151.14,139.05,https://www.oceanparísresort.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",7.44
París CDG,Paradise París Villa,4,367.33,337.94,https://www.paradiseparísvilla.com,"Hostal o Albergue: Económico, alojamiento compartido.",3.17
París CDG,Sunset París Palace,5,247.98,228.14,https://www.sunsetparíspalace.com,"Hostal o Albergue: Económico, alojamiento compartido.",6.5
París CDG,Luxe París Retreat,5,401.78,369.64,https://www.luxeparísretreat.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",11.19
París CDG,Grand París Villa,5,452.34,416.15,https://www.grandparísvilla.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",11.92
París CDG,Comfort París Inn,5,275.0,253.0,https://www.comfortparísinn.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",7.24
París CDG,Ocean París Retreat,4,222.24,204.46,https://www.oceanparísretreat.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",7.56
París CDG,Luxe París Lodge,3,239.11,219.98,https://www.luxeparíslodge.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,17.44
París CDG,Comfort París Retreat,3,239.1,219.97,https://www.comfortparísretreat.com,"Hostal o Albergue: Económico, alojamiento compartido.",14.93
París CDG,Comfort París Retreat,3,220.69,203.03,https://www.comfortparísretreat.com,"Hostal o Albergue: Económico, alojamiento compartido.",29.24
París CDG,Comfort París Suites,5,317.86,292.43,https://www.comfortparíssuites.com,"Hostal o Albergue: Económico, alojamiento compartido.",13.54
París CDG,Sunset París Retreat,3,239.99,220.79,https://www.sunsetparísretreat.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",0.92
París CDG,Royal París Resort,3,196.0,180.32,https://www.royalparísresort.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",26.32
París CDG,Heritage París Haven,5,319.16,293.63,https://www.heritageparíshaven.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",26.95
París CDG,Ocean París Villa,5,456.81,420.27,https://www.oceanparísvilla.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",21.38
París CDG,Royal París Villa,4,364.01,334.89,https://www.royalparísvilla.com,"Hostal o Albergue: Económico, alojamiento compartido.",10.44
París CDG,Ocean París Haven,3,112.11,103.14,https://www.oceanparíshaven.com,"Hostal o Albergue: Económico, alojamiento compartido.",15.83
París CDG,Grand París Suites,3,252.55,232.35,https://www.grandparíssuites.com,"Hostal o Albergue: Económico, alojamiento compartido.",6.85
París CDG,Heritage París Resort,5,466.73,429.39,https://www.heritageparísresort.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",7.78
París CDG,Ocean París Residence,5,343.23,315.77,https://www.oceanparísresidence.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",2.43
París CDG,Royal París Lodge,3,142.02,130.66,https://www.royalparíslodge.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",10.47
París CDG,Comfort París Inn,3,285.79,262.93,https://www.comfortparísinn.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",28.75
París CDG,Royal París Lodge,5,333.55,306.87,https://www.royalparíslodge.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",20.82
París CDG,Paradise París Haven,4,252.09,231.92,https://www.paradiseparíshaven.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",14.68
París CDG,Urban París Inn,5,389.42,358.27,https://www.urbanparísinn.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",18.74
París CDG,Paradise París Residence,5,458.86,422.15,https://www.paradiseparísresidence.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",29.64
París CDG,Luxe París Haven,5,339.8,312.62,https://www.luxeparíshaven.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",3.32
París CDG,Paradise París Retreat,4,258.04,237.4,https://www.paradiseparísretreat.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,3.34
París CDG,Urban París Residence,4,367.5,338.1,https://www.urbanparísresidence.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",8.65
París CDG,Comfort París Palace,3,278.94,256.62,https://www.comfortparíspalace.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",13.41
París CDG,Luxe París Villa,4,173.07,159.22,https://www.luxeparísvilla.com,Eco-Lodge: Enfocado en sostenibilidad y naturaleza.,3.41
París CDG,Comfort París Haven,5,326.31,300.21,https://www.comfortparíshaven.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",7.48
París CDG,Paradise París Haven,3,200.54,184.5,https://www.paradiseparíshaven.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",2.6
París CDG,Ocean París Suites,5,393.86,362.35,https://www.oceanparíssuites.com,"Resort: Ubicado en destinos turísticos, con actividades recreativas.",19.37
París CDG,Luxe París Palace,4,235.39,216.56,https://www.luxeparíspalace.com,"Airport Hotel: Cerca de aeropuertos, ideal para estancias cortas.",6.16
París CDG,Ocean París Haven,5,492.78,453.36,https://www.oceanparíshaven.com,"Boutique Hotel: Pequeño, diseño único y atención personalizada.",22.56
París CDG,Urban París Resort,3,140.27,129.05,https://www.urbanparísresort.com,"Hostal o Albergue: Económico, alojamiento compartido.",3.74
París CDG,Grand París Palace,5,404.53,372.17,https://www.grandparíspalace.com,"Business Hotel: Ubicado en zonas comerciales, diseñado para negocios.",1.61
